24-Hour Heat Wave,,,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, Tennessee, USA",,,,,,,,"Birmingham, England, UK",,,,,,,,,,,,,,,,,
Time,Temperature (°F),Temperature (°C),Dew Point (°F),Dew Point (°C),Humidity (%),Wind Speed (miles per hour),,Time,Temperature (°F),Temperature (°C),Dew Point (°F),Dew Point (°C),Humidity (%),Wind Speed (miles per hour),,,,,,,,,,,
12:00 AM,85,29.4,76,24.4,74,6,,12:00 AM,70,21.1,55,12.8,60,3,,,,,,,,,,,
1:00 AM,85,29.4,76,24.4,74,5,,1:00 AM,66,18.9,55,12.8,68,6,,,,,,,,,,,
2:00 AM,84,28.9,75,23.9,74,8,,2:00 AM,64,17.8,54,12.2,68,5,,,,,,,,,,,
3:00 AM,83,28.3,75,23.9,77,5,,3:00 AM,63,17.2,54,12.2,72,6,,,,,,,,,,,
4:00 AM,83,28.3,75,23.9,77,7,,4:00 AM,63,17.2,52,11.1,68,5,,,,,,,,,,,
5:00 AM,83,28.3,75,23.9,77,8,,5:00 AM,61,16.1,52,11.1,72,3,,,,,,,,,,,
6:00 AM,84,28.9,75,23.9,74,7,,6:00 AM,66,18.9,57,13.9,73,6,,,,,,,,,,,
7:00 AM,88,31.1,76,24.4,67,9,,7:00 AM,77,25.0,54,12.2,44,5,,,,,,,,,,,
8:00 AM,91,32.8,76,24.4,61,9,,8:00 AM,82,27.8,52,11.1,35,3,,,,,,,,,,,
9:00 AM,94,34.4,76,24.4,56,10,,9:00 AM,90,32.2,52,11.1,27,7,,,,,,,,,,,
10:00 AM,96,35.6,76,24.4,52,9,,10:00 AM,93,33.9,52,11.1,24,5,,,,,,,,,,,
11:00 AM,97,36.1,76,24.4,51,5,,11:00 AM,97,36.1,54,12.2,23,8,,,,,,,,,,,
12:00 PM,100,37.8,75,23.9,45,9,,12:00 PM,99,37.2,50,10.0,19,9,,,,,,,,,,,
1:00 PM,100,37.8,74,23.3,43,8,,1:00 PM,99,37.2,52,11.1,21,8,,,,,,,,,,,
2:00 PM,102,38.9,72,22.2,38,13,,2:00 PM,99,37.2,55,12.8,24,7,,,,,,,,,,,
3:00 PM,102,38.9,72,22.2,38,16,,3:00 PM,95,35.0,57,13.9,28,7,,,,,,,,,,,
4:00 PM,100,37.8,73,22.8,42,10,,4:00 PM,95,35.0,57,13.9,28,9,,,,,,,,,,,
5:00 PM,99,37.2,73,22.8,43,10,,5:00 PM,91,32.8,55,12.8,29,7,,,,,,,,,,,
6:00 PM,97,36.1,74,23.3,47,8,,6:00 PM,91,32.8,55,12.8,29,7,,,,,,,,,,,
7:00 PM,94,34.4,73,22.8,51,6,,7:00 PM,90,32.2,55,12.8,31,5,,,,,,,,,,,
8:00 PM,92,33.3,74,23.3,55,7,,8:00 PM,82,27.8,59,15.0,45,5,,,,,,,,,,,
9:00 PM,91,32.8,75,23.9,59,8,,9:00 PM,82,27.8,59,15.0,45,3,,,,,,,,,,,
10:00 PM,90,32.2,76,24.4,63,12,,10:00 PM,81,27.2,59,15.0,48,5,,,,,,,,,,,
11:00 PM,89,31.7,76,24.4,65,12,,11:00 PM,79,26.1,61,16.1,54,5,,,,,,,,,,,
"Hottest day of July 2022 heat wave: July 8, 2022",,,,Memphis heat wave threshold: 37.7 °C / 100 °F,,,,"Hottest day of July 2022 heat wave: July 19, 2022",,,,Birmingham heat wave threshold: 30 °C / 86 °F ,,,,,,,,,,,,,
Source1,Source 2,Source 3,,Source: Tennessee State Government,,,,Source 1,Source 2,,,Source: Birmingham City Council,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum annual recorded temperature,,,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, Tennessee, USA",,,,,"Birmingham, England, UK",,,,,,,,,,,,,,,,,,,,
Year,Date (month-day),Temperature (°F),Temperature (°C),,Year,Date (month-day),Temperature (°F),Temperature (°C),,,,,,,,,,,,,,,,,
2023,8-26,102,38.9,,2023,6-10,86,30.0,,,,,,,,,,,,,,,,,
2022,7-8,102,38.9,,2022,7-19,99,37.2,,,,,,,,,,,,,,,,,
2021,8-26,96,35.6,,2021,7-18,86,30.0,,,,,,,,,,,,,,,,,
2020,8-11,97,36.1,,2020,7-31,93,33.9,,,,,,,,,,,,,,,,,
2019,9-16,100,37.8,,2019,7-25,93,33.9,,,,,,,,,,,,,,,,,
2018,7-13,97,36.1,,2018,7-26,88,31.1,,,,,,,,,,,,,,,,,
2017,7-21,99,37.2,,2017,6-19,86,30.0,,,,,,,,,,,,,,,,,
2016,7-22,100,37.8,,2016,7-19,88,31.1,,,,,,,,,,,,,,,,,
2015,7-29,99,37.2,,2015,7-1,90,32.2,,,,,,,,,,,,,,,,,
2014,8-24,100,37.8,,2014,7-24,82,27.8,,,,,,,,,,,,,,,,,
2013,9-8,98,36.7,,2013,8-1,88,31.1,,,,,,,,,,,,,,,,,
2012,7-5,103,39.4,,2012,7-24,81,27.2,,,,,,,,,,,,,,,,,
2011,8-3,106,41.1,,2011,8-3,82,27.8,,,,,,,,,,,,,,,,,
2010,8-4,104,40.0,,2010,6-26,81,27.2,,,,,,,,,,,,,,,,,
2009,6-23,100,37.8,,2009,7-1,84,28.9,,,,,,,,,,,,,,,,,
2008,7-29,101,38.3,,2008,7-28,82,27.8,,,,,,,,,,,,,,,,,
2007,8-15,106,41.1,,2007,8-5,81,27.2,,,,,,,,,,,,,,,,,
2006,8-10,102,38.9,,2006,7-19,95,35.0,,,,,,,,,,,,,,,,,
2005,8-21,100,37.8,,2005,6-19,88,31.1,,,,,,,,,,,,,,,,,
2004,7-14,97,36.1,,2004,8-8,84,28.9,,,,,,,,,,,,,,,,,
2003,8-18,98,36.7,,2003,8-9,93,33.9,,,,,,,,,,,,,,,,,
2002,7-10,98,36.7,,2002,7-29,84,28.9,,,,,,,,,,,,,,,,,
2001,8-22,96,35.6,,2001,8-15,88,31.1,,,,,,,,,,,,,,,,,
2000,8-30,107,41.7,,2000,6-19,89,31.7,,,,,,,,,,,,,,,,,
"High temperature observed at Memphis International Airport
Source: CurrentResults",,,,,"High temperature observed at Birmingham Airport.
Source: Weather Spark",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
